CODGEO;Code département;Code de la commune;LIBGEO;population_totale;taux_diplome_universitaire_total;taux_bac_ou_moins_total;taux_universitaire_16_24_ans;taux_bac_ou_moins_16_24_ans;taux_universitaire_25_ans_et_plus;taux_bac_ou_moins_25_ans_et_plus
22377;22;377;Tréveneuc;834;17.87;82.13;16.0;84.0;17.92;82.08
22378;22;378;Trévérec;214;22.9;77.1;30.77;69.23;22.39;77.61
22379;22;379;Trévou-Tréguignec;1804;32.04;67.96;50.0;50.0;31.82;68.18
22380;22;380;Trévron;595;14.79;85.21;0.0;100.0;15.28;84.72
22381;22;381;Trézény;351;27.35;72.65;0.0;100.0;27.99;72.01
22383;22;383;Troguéry;182;5.49;94.51;0.0;100.0;5.75;94.25
22384;22;384;Uzel;1081;21.55;78.45;27.71;72.29;21.04;78.96
22385;22;385;La Vicomté-sur-Rance;1200;29.42;70.58;0.0;100.0;30.2;69.8
22386;22;386;Le Vieux-Bourg;648;21.45;78.55;50.0;50.0;21.09;78.91
22387;22;387;Le Vieux-Marché;1183;16.57;83.43;0.0;100.0;17.03;82.97
22388;22;388;Vildé-Guingalan;1174;21.04;78.96;16.67;83.33;21.35;78.65
22389;22;389;Yffiniac;4963;22.28;77.72;26.82;73.18;21.8;78.2
22390;22;390;Yvias;758;25.2;74.8;29.41;70.59;25.0;75.0
22391;22;391;Yvignac-la-Tour;1021;14.3;85.7;20.45;79.55;14.02;85.98
29001;29;001;Argol;952;22.37;77.63;0.0;100.0;22.9;77.1
29002;29;002;Arzano;1473;20.77;79.23;20.48;79.52;20.79;79.21
29003;29;003;Audierne;4071;20.85;79.15;20.29;79.71;20.87;79.13
29004;29;004;Bannalec;5363;18.29;81.71;9.48;90.52;18.65;81.35
29005;29;005;Baye;1329;22.72;77.28;7.69;92.31;23.5;76.5
29006;29;006;Bénodet;4643;29.31;70.69;26.15;73.85;29.4;70.6
29007;29;007;Berrien;954;21.28;78.72;0.0;100.0;22.09;77.91
29008;29;008;Beuzec-Cap-Sizun;1101;25.61;74.39;25.64;74.36;25.61;74.39
29010;29;010;Bodilis;1543;20.09;79.91;13.17;86.83;21.38;78.62
29011;29;011;Bohars;3913;28.7;71.3;25.0;75.0;28.84;71.16
29012;29;012;Bolazec;180;21.11;78.89;0.0;100.0;21.71;78.29
29013;29;013;Botmeur;247;30.36;69.64;33.33;66.67;29.95;70.05
29014;29;014;Botsorhel;417;18.23;81.77;50.0;50.0;16.96;83.04
29015;29;015;Bourg-Blanc;3486;24.67;75.33;19.86;80.14;24.87;75.13
29016;29;016;Brasparts;1093;25.16;74.84;24.07;75.93;25.22;74.78
29017;29;017;Brélès;804;21.27;78.73;24.53;75.47;21.04;78.96
29018;29;018;Brennilis;394;9.9;90.1;0.0;100.0;10.29;89.71
29019;29;019;Brest;144870;28.54;71.46;26.84;73.16;28.77;71.23
29020;29;020;Briec;5348;19.6;80.4;19.87;80.13;19.58;80.42
29021;29;021;Plounéour-Brignogan-plages;2176;24.91;75.09;34.21;65.79;24.74;75.26
29022;29;022;Camaret-sur-Mer;2586;17.44;82.56;3.85;96.15;18.01;81.99
29023;29;023;Carantec;4081;33.03;66.97;40.59;59.41;32.84;67.16
29024;29;024;Carhaix-Plouguer;7383;18.56;81.44;12.6;87.4;18.97;81.03
29025;29;025;Cast;1453;21.2;78.8;28.0;72.0;20.96;79.04
29026;29;026;Châteaulin;4979;21.15;78.85;18.5;81.5;21.35;78.65
29027;29;027;Châteauneuf-du-Faou;3468;16.06;83.94;15.18;84.82;16.11;83.89
29028;29;028;Cléden-Cap-Sizun;979;16.55;83.45;26.47;73.53;16.19;83.81
29029;29;029;Cléden-Poher;1068;19.66;80.34;10.26;89.74;20.02;79.98
29030;29;030;Cléder;3589;18.33;81.67;12.43;87.57;18.65;81.35
29031;29;031;Clohars-Carnoët;5183;27.28;72.72;21.17;78.83;27.45;72.55
29032;29;032;Clohars-Fouesnant;2375;29.05;70.95;9.62;90.38;29.94;70.06
29033;29;033;Le Cloître-Pleyben;524;13.74;86.26;29.23;70.77;11.55;88.45
29034;29;034;Le Cloître-Saint-Thégonnec;548;17.34;82.66;12.82;87.18;17.68;82.32
29035;29;035;Coat-Méal;1062;25.42;74.58;15.52;84.48;26.0;74.0
29036;29;036;Collorec;623;18.78;81.22;7.02;92.98;19.96;80.04
29037;29;037;Combrit;4759;28.72;71.28;20.14;79.86;28.98;71.02
29038;29;038;Commana;963;20.25;79.75;20.0;80.0;20.25;79.75
29039;29;039;Concarneau;22681;24.04;75.96;19.73;80.27;24.25;75.75
29040;29;040;Le Conquet;3103;25.1;74.9;0.0;100.0;25.59;74.41
29041;29;041;Coray;1751;16.96;83.04;16.22;83.78;17.01;82.99
29042;29;042;Crozon;7776;21.28;78.72;12.98;87.02;21.78;78.22
29043;29;043;Daoulas;1893;29.48;70.52;33.33;66.67;29.39;70.61
29044;29;044;Dinéault;1931;16.36;83.64;15.82;84.18;16.56;83.44
29045;29;045;Dirinon;2241;24.01;75.99;23.02;76.98;24.07;75.93
29046;29;046;Douarnenez;15747;23.85;76.15;22.4;77.6;23.91;76.09
29047;29;047;Le Drennec;1719;20.42;79.58;8.33;91.67;20.86;79.14
29048;29;048;Edern;2090;24.64;75.36;20.22;79.78;24.84;75.16
29049;29;049;Elliant;3241;22.93;77.07;20.23;79.77;23.08;76.92
29051;29;051;Ergué-Gabéric;8435;25.03;74.97;22.07;77.93;25.16;74.84
29053;29;053;Le Faou;2046;31.18;68.82;33.48;66.52;30.9;69.1
29054;29;054;La Feuillée;713;21.46;78.54;0.0;100.0;21.92;78.08
29055;29;055;Le Folgoët;3116;20.15;79.85;4.9;95.1;20.67;79.33
29056;29;056;La Forest-Landerneau;2024;30.58;69.42;23.08;76.92;30.83;69.17
29057;29;057;La Forêt-Fouesnant;3893;26.66;73.34;20.87;79.13;26.84;73.16
29058;29;058;Fouesnant;11566;27.29;72.71;18.67;81.33;27.59;72.41
29059;29;059;Garlan;1019;24.44;75.56;8.06;91.94;25.5;74.5
29060;29;060;Gouesnach;3058;27.93;72.07;14.29;85.71;28.35;71.65
29061;29;061;Gouesnou;6909;29.22;70.78;27.75;72.25;29.31;70.69
29062;29;062;Gouézec;1093;22.32;77.68;26.0;74.0;22.15;77.85
29063;29;063;Goulien;454;24.23;75.77;;;24.23;75.77
29064;29;064;Goulven;428;21.03;78.97;33.33;66.67;20.67;79.33
29065;29;065;Gourlizon;871;22.85;77.15;0.0;100.0;23.33;76.67
29066;29;066;Guengat;1743;23.87;76.13;19.57;80.43;24.11;75.89
29067;29;067;Guerlesquin;1229;16.44;83.56;29.55;70.45;15.95;84.05
29068;29;068;Guiclan;2352;22.92;77.08;18.52;81.48;23.18;76.82
29069;29;069;Guilers;8370;25.38;74.62;24.56;75.44;25.43;74.57
29070;29;070;Guiler-sur-Goyen;508;18.11;81.89;0.0;100.0;18.7;81.3
29071;29;071;Guilligomarc'h;711;19.69;80.31;18.0;82.0;19.82;80.18
29072;29;072;Guilvinec;2815;17.41;82.59;18.56;81.44;17.37;82.63
29073;29;073;Guimaëc;1029;26.04;73.96;7.41;92.59;27.08;72.92
29074;29;074;Guimiliau;1009;24.78;75.22;28.24;71.76;24.46;75.54
29075;29;075;Guipavas;16122;28.62;71.38;27.59;72.41;28.68;71.32
29076;29;076;Milizac-Guipronvel;4298;23.64;76.36;12.44;87.56;24.19;75.81
29077;29;077;Guissény;1962;22.53;77.47;9.76;90.24;22.8;77.2
29078;29;078;Hanvec;2145;29.79;70.21;26.32;73.68;29.95;70.05
29079;29;079;Henvic;1229;23.6;76.4;35.94;64.06;22.92;77.08
29080;29;080;Hôpital-Camfrout;2474;29.67;70.33;15.38;84.62;30.21;69.79
29081;29;081;Huelgoat;1470;15.1;84.9;11.76;88.24;15.18;84.82
29082;29;082;Île-de-Batz;546;25.64;74.36;33.33;66.67;25.47;74.53
29083;29;083;Île-de-Sein;304;18.75;81.25;;;18.75;81.25
29084;29;084;Île-Molène;171;14.62;85.38;33.33;66.67;12.82;87.18
29085;29;085;Île-Tudy;878;31.44;68.56;0.0;100.0;31.76;68.24
29086;29;086;Irvillac;1368;30.48;69.52;0.0;100.0;30.91;69.09
29087;29;087;Le Juch;709;21.16;78.84;28.57;71.43;20.69;79.31
29089;29;089;Kergloff;834;18.47;81.53;15.69;84.31;18.65;81.35
29090;29;090;Kerlaz;792;23.23;76.77;30.77;69.23;23.11;76.89
29091;29;091;Kerlouan;2107;16.75;83.25;21.13;78.87;16.6;83.4
29093;29;093;Kernilis;1266;22.75;77.25;15.79;84.21;23.08;76.92
29094;29;094;Kernouës;647;22.41;77.59;0.0;100.0;23.05;76.95
29095;29;095;Kersaint-Plabennec;1381;25.34;74.66;12.5;87.5;25.73;74.27
29097;29;097;Lampaul-Guimiliau;1856;18.32;81.68;4.81;95.19;19.12;80.88
29098;29;098;Lampaul-Plouarzel;2275;23.03;76.97;16.44;83.56;23.49;76.51
29099;29;099;Lampaul-Ploudalmézeau;763;23.46;76.54;16.98;83.02;23.94;76.06
29100;29;100;Lanarvily;363;25.07;74.93;27.78;72.22;24.93;75.07
29101;29;101;Landéda;4180;29.9;70.1;21.82;78.18;30.12;69.88
29102;29;102;Landeleau;890;14.04;85.96;13.33;86.67;14.11;85.89
29103;29;103;Landerneau;16739;25.62;74.38;22.07;77.93;25.84;74.16
29104;29;104;Landévennec;383;25.59;74.41;31.25;68.75;25.34;74.66
29105;29;105;Landivisiau;8894;20.18;79.82;14.93;85.07;20.61;79.39
29106;29;106;Landrévarzec;1819;24.46;75.54;8.77;91.23;25.51;74.49
29107;29;107;Landudal;868;20.85;79.15;8.33;91.67;21.78;78.22
29108;29;108;Landudec;1394;18.29;81.71;16.67;83.33;18.37;81.63
29109;29;109;Landunvez;1738;30.26;69.74;14.75;85.25;30.83;69.17
29110;29;110;Langolen;830;22.17;77.83;31.08;68.92;21.3;78.7
29111;29;111;Lanhouarneau;1111;13.59;86.41;7.14;92.86;14.12;85.88
29112;29;112;Lanildut;1020;24.41;75.59;20.0;80.0;24.62;75.38
29113;29;113;Lanmeur;2299;16.35;83.65;16.67;83.33;16.34;83.66
29114;29;114;Lannéanou;315;8.89;91.11;0.0;100.0;9.59;90.41
29115;29;115;Lannédern;252;10.71;89.29;0.0;100.0;11.07;88.93
29116;29;116;Lanneuffret;140;22.14;77.86;;;22.14;77.86
29117;29;117;Lannilis;5387;21.59;78.41;23.36;76.64;21.45;78.55
29119;29;119;Lanrivoaré;1512;25.26;74.74;31.31;68.69;24.84;75.16
29120;29;120;Lanvéoc;1792;15.74;84.26;19.73;80.27;14.94;85.06
29122;29;122;Laz;663;21.72;78.28;17.39;82.61;21.88;78.13
29123;29;123;Lennon;755;22.91;77.09;11.43;88.57;23.47;76.53
29124;29;124;Lesneven;7421;23.03;76.97;18.89;81.11;23.34;76.66
29125;29;125;Leuhan;711;13.92;86.08;33.33;66.67;13.25;86.75
29126;29;126;Loc-Brévalaire;195;30.77;69.23;33.33;66.67;30.56;69.44
29128;29;128;Loc-Eguiner;386;28.5;71.5;40.0;60.0;27.7;72.3
29130;29;130;Locmaria-Plouzané;5475;30.32;69.68;25.22;74.78;30.54;69.46
29131;29;131;Locmélar;466;24.46;75.54;33.33;66.67;23.52;76.48
29132;29;132;Locquénolé;928;30.6;69.4;0.0;100.0;31.17;68.83
29133;29;133;Locquirec;1678;25.21;74.79;11.36;88.64;25.58;74.42
29134;29;134;Locronan;879;29.81;70.19;0.0;100.0;30.25;69.75
29135;29;135;Loctudy;4657;24.37;75.63;16.35;83.65;24.56;75.44
29136;29;136;Locunolé;1053;18.52;81.48;11.11;88.89;18.85;81.15
29137;29;137;Logonna-Daoulas;2398;33.44;66.56;29.63;70.37;33.58;66.42
29139;29;139;Lopérec;859;24.56;75.44;0.0;100.0;25.15;74.85
29140;29;140;Loperhet;4069;30.25;69.75;18.75;81.25;30.63;69.37
29141;29;141;Loqueffret;328;18.9;81.1;;;18.9;81.1
29142;29;142;Lothey;425;20.0;80.0;0.0;100.0;20.73;79.27
29143;29;143;Mahalon;929;17.44;82.56;28.57;71.43;16.53;83.47
29144;29;144;La Martyre;676;20.12;79.88;18.18;81.82;20.18;79.82
29145;29;145;Confort-Meilars;830;19.4;80.6;33.96;66.04;18.4;81.6
29146;29;146;Melgven;3305;20.76;79.24;21.37;78.63;20.73;79.27
29147;29;147;Mellac;3079;21.66;78.34;12.5;87.5;22.03;77.97
29148;29;148;Mespaul;888;22.41;77.59;24.49;75.51;22.15;77.85
29150;29;150;Moëlan-sur-Mer;7496;23.52;76.48;21.83;78.17;23.57;76.43
29151;29;151;Morlaix;15656;24.69;75.31;19.02;80.98;25.12;74.88
29152;29;152;Motreff;684;17.11;82.89;21.74;78.26;16.59;83.41
29153;29;153;Névez;2949;21.53;78.47;18.1;81.9;21.66;78.34
29155;29;155;Ouessant;919;17.41;82.59;0.0;100.0;17.51;82.49
29156;29;156;Pencran;2054;26.68;73.32;28.57;71.43;26.58;73.42
29158;29;158;Penmarch;5518;19.19;80.81;7.74;92.26;19.52;80.48
29159;29;159;Peumerit;787;23.0;77.0;;;23.0;77.0
29160;29;160;Plabennec;8429;25.83;74.17;27.02;72.98;25.73;74.27
29161;29;161;Pleuven;3356;25.72;74.28;20.17;79.83;25.92;74.08
29162;29;162;Pleyben;3509;21.77;78.23;33.46;66.54;20.79;79.21
29163;29;163;Pleyber-Christ;3033;19.35;80.65;7.92;92.08;19.75;80.25
29165;29;165;Plobannalec-Lesconil;3923;25.06;74.94;21.43;78.57;25.19;74.81
29166;29;166;Ploéven;505;21.98;78.02;0.0;100.0;22.38;77.62
29167;29;167;Plogastel-Saint-Germain;2054;25.12;74.88;22.22;77.78;25.25;74.75
29168;29;168;Plogoff;1261;16.65;83.35;20.0;80.0;16.59;83.41
29169;29;169;Plogonnec;3229;21.59;78.41;18.32;81.68;21.72;78.28
29170;29;170;Plomelin;4464;26.97;73.03;18.62;81.38;27.25;72.75
29171;29;171;Plomeur;3794;20.53;79.47;10.37;89.63;20.91;79.09
29172;29;172;Plomodiern;2437;22.65;77.35;14.29;85.71;22.98;77.02
29173;29;173;Plonéis;2258;23.56;76.44;20.41;79.59;23.7;76.3
29174;29;174;Plonéour-Lanvern;6383;23.72;76.28;17.99;82.01;23.98;76.02
29175;29;175;Plonévez-du-Faou;2236;16.82;83.18;13.48;86.52;17.04;82.96
29176;29;176;Plonévez-Porzay;1880;24.84;75.16;19.63;80.37;25.16;74.84
29177;29;177;Plouarzel;3861;23.44;76.56;28.03;71.97;23.1;76.9
29178;29;178;Ploudalmézeau;6289;22.82;77.18;24.79;75.21;22.74;77.26
29179;29;179;Ploudaniel;3679;23.08;76.92;21.53;78.47;23.17;76.83
29180;29;180;Ploudiry;791;21.37;78.63;25.0;75.0;21.0;79.0
29181;29;181;Plouédern;2951;23.79;76.21;16.67;83.33;24.09;75.91
29182;29;182;Plouégat-Guérand;1084;26.85;73.15;27.03;72.97;26.84;73.16
29183;29;183;Plouégat-Moysan;669;19.43;80.57;25.0;75.0;19.0;81.0
29184;29;184;Plouénan;2460;19.76;80.24;25.81;74.19;19.35;80.65
29185;29;185;Plouescat;3531;17.36;82.64;17.07;82.93;17.37;82.63
29186;29;186;Plouezoc'h;1790;27.88;72.12;0.0;100.0;27.96;72.04
29187;29;187;Plougar;732;19.67;80.33;18.6;81.4;19.74;80.26
29188;29;188;Plougasnou;3353;26.13;73.87;23.29;76.71;26.19;73.81
29189;29;189;Plougastel-Daoulas;14634;30.57;69.43;24.82;75.18;30.79;69.21
29190;29;190;Plougonvelin;4917;31.91;68.09;30.77;69.23;31.95;68.05
29191;29;191;Plougonven;3401;21.29;78.71;26.89;73.11;20.87;79.13
29192;29;192;Plougoulm;1784;22.14;77.86;27.33;72.67;21.63;78.37
29193;29;193;Plougourvest;1403;23.66;76.34;24.64;75.36;23.61;76.39
29195;29;195;Plouguerneau;7048;24.8;75.2;26.78;73.22;24.7;75.3
29196;29;196;Plouguin;2069;23.25;76.75;30.16;69.84;22.8;77.2
29197;29;197;Plouhinec;4374;23.57;76.43;18.46;81.54;23.73;76.27
29198;29;198;Plouider;1741;20.28;79.72;27.84;72.16;19.83;80.17
29199;29;199;Plouigneau;4787;20.1;79.9;16.1;83.9;20.36;79.64
29201;29;201;Ploumoguer;2137;27.7;72.3;19.35;80.65;28.22;71.78
29202;29;202;Plounéour-Ménez;1221;20.56;79.44;20.29;79.71;20.57;79.43
29204;29;204;Plounéventer;2148;26.21;73.79;23.84;76.16;26.39;73.61
29205;29;205;Plounévézel;1131;22.81;77.19;34.48;65.52;21.84;78.16
29206;29;206;Plounévez-Lochrist;2283;20.19;79.81;21.97;78.03;20.05;79.95
29207;29;207;Plourin-lès-Morlaix;4688;24.15;75.85;17.93;82.07;24.56;75.44
29208;29;208;Plourin;1207;23.78;76.22;10.98;89.02;24.71;75.29
29209;29;209;Plouvien;3632;21.15;78.85;11.85;88.15;21.72;78.28
29210;29;210;Plouvorn;2711;20.29;79.71;20.0;80.0;20.31;79.69
29211;29;211;Plouyé;620;16.29;83.71;0.0;100.0;16.89;83.11
29212;29;212;Plouzané;12828;26.97;73.03;21.89;78.11;27.25;72.75
29213;29;213;Plouzévédé;1696;19.52;80.48;19.15;80.85;19.55;80.45
29214;29;214;Plovan;795;25.28;74.72;10.53;89.47;26.02;73.98
29215;29;215;Plozévet;3043;19.85;80.15;6.1;93.9;20.23;79.77
29216;29;216;Pluguffan;4307;26.03;73.97;28.03;71.97;25.9;74.1
29217;29;217;Pont-Aven;3007;20.35;79.65;16.5;83.5;20.49;79.51
29218;29;218;Pont-Croix;1755;21.14;78.86;17.53;82.47;21.35;78.65
29220;29;220;Pont-l'Abbé;8689;20.17;79.83;12.98;87.02;20.68;79.32
29221;29;221;Porspoder;2045;28.36;71.64;23.53;76.47;28.44;71.56
29222;29;222;Port-Launay;471;30.79;69.21;27.08;72.92;31.21;68.79
29224;29;224;Pouldergat;1211;21.55;78.45;0.0;100.0;22.79;77.21
29225;29;225;Pouldreuzic;2212;22.6;77.4;12.5;87.5;22.98;77.02
29226;29;226;Poullan-sur-Mer;1493;19.76;80.24;28.57;71.43;19.55;80.45
29227;29;227;Poullaouen;1546;17.21;82.79;24.43;75.57;16.54;83.46
29228;29;228;Primelin;670;18.21;81.79;0.0;100.0;18.46;81.54
29229;29;229;Quéménéven;1065;21.13;78.87;34.21;65.79;20.64;79.36
29230;29;230;Querrien;1574;15.63;84.37;0.0;100.0;16.68;83.32
29232;29;232;Quimper;68888;27.92;72.08;22.66;77.34;28.35;71.65
29233;29;233;Quimperlé;12654;24.18;75.82;19.78;80.22;24.45;75.55
29234;29;234;Rédené;3037;26.8;73.2;21.03;78.97;27.2;72.8
29235;29;235;Le Relecq-Kerhuon;13110;32.81;67.19;32.77;67.23;32.81;67.19
29236;29;236;Riec-sur-Bélon;4656;24.79;75.21;26.52;73.48;24.72;75.28
29237;29;237;La Roche-Maurice;1848;25.05;74.95;25.0;75.0;25.06;74.94
29238;29;238;Roscanvel;889;22.83;77.17;50.0;50.0;22.59;77.41
29239;29;239;Roscoff;3830;23.5;76.5;18.18;81.82;23.67;76.33
29240;29;240;Rosnoën;937;20.38;79.62;0.0;100.0;21.53;78.47
29241;29;241;Rosporden;7381;18.82;81.18;20.27;79.73;18.73;81.27
29243;29;243;Saint-Coulitz;440;22.95;77.05;0.0;100.0;23.38;76.62
29244;29;244;Saint-Derrien;750;22.67;77.33;19.15;80.85;22.9;77.1
29245;29;245;Saint-Divy;1614;28.69;71.31;18.92;81.08;29.16;70.84
29246;29;246;Saint-Eloy;196;22.96;77.04;50.0;50.0;21.51;78.49
29247;29;247;Saint-Évarzec;3618;24.63;75.37;24.04;75.96;24.66;75.34
29248;29;248;Saint-Frégant;708;16.95;83.05;0.0;100.0;17.83;82.17
29249;29;249;Saint-Goazec;724;17.82;82.18;23.64;76.36;17.34;82.66
29250;29;250;Saint-Hernin;671;13.56;86.44;18.0;82.0;13.2;86.8
29251;29;251;Saint-Jean-du-Doigt;703;23.33;76.67;50.0;50.0;23.02;76.98
29252;29;252;Saint-Jean-Trolimon;1006;26.84;73.16;9.09;90.91;27.65;72.35
29254;29;254;Saint-Martin-des-Champs;5071;22.76;77.24;24.55;75.45;22.65;77.35
29255;29;255;Saint-Méen;768;20.18;79.82;0.0;100.0;20.45;79.55
29256;29;256;Saint-Nic;842;26.37;73.63;0.0;100.0;26.78;73.22
29257;29;257;Saint-Pabu;2033;22.48;77.52;5.8;94.2;23.07;76.93
29259;29;259;Saint-Pol-de-Léon;6835;20.86;79.14;21.47;78.53;20.83;79.17
29260;29;260;Saint-Renan;8222;24.19;75.81;18.68;81.32;24.51;75.49
29261;29;261;Saint-Rivoal;231;30.3;69.7;;;30.3;69.7
29262;29;262;Saint-Sauveur;724;22.38;77.62;26.47;73.53;22.17;77.83
29263;29;263;Saint-Ségal;1058;25.8;74.2;0.0;100.0;26.43;73.57
29264;29;264;Saint-Servais;681;22.17;77.83;28.13;71.88;21.56;78.44
29265;29;265;Sainte-Sève;1062;23.07;76.93;0.0;100.0;23.93;76.07
29266;29;266;Saint-Thégonnec Loc-Eguiner;3028;24.11;75.89;22.95;77.05;24.16;75.84
29267;29;267;Saint-Thois;779;27.47;72.53;44.59;55.41;25.67;74.33
29268;29;268;Saint-Thonan;1934;31.9;68.1;32.99;67.01;31.85;68.15
29269;29;269;Saint-Thurien;977;19.86;80.14;10.81;89.19;20.21;79.79
29270;29;270;Saint-Urbain;1631;28.94;71.06;23.94;76.06;29.42;70.58
29271;29;271;Saint-Vougay;800;16.25;83.75;24.66;75.34;15.41;84.59
29272;29;272;Saint-Yvi;3169;22.28;77.72;19.23;80.77;22.41;77.59
29273;29;273;Santec;2522;24.46;75.54;17.44;82.56;24.71;75.29
29274;29;274;Scaër;4972;14.62;85.38;18.3;81.7;14.45;85.55
29275;29;275;Scrignac;716;13.97;86.03;0.0;100.0;14.16;85.84
29276;29;276;Sibiril;1196;21.32;78.68;23.08;76.92;21.24;78.76
29277;29;277;Sizun;2299;23.62;76.38;18.05;81.95;23.96;76.04
29278;29;278;Spézet;1634;14.01;85.99;20.0;80.0;13.79;86.21
29279;29;279;Taulé;2817;20.38;79.62;18.75;81.25;20.43;79.57
29280;29;280;Telgruc-sur-Mer;2203;25.24;74.76;24.05;75.95;25.28;74.72
29281;29;281;Tourch;877;14.14;85.86;9.76;90.24;14.35;85.65
29282;29;282;Trébabu;329;18.24;81.76;0.0;100.0;18.46;81.54
29284;29;284;Treffiagat;2499;19.13;80.87;18.45;81.55;19.16;80.84
29285;29;285;Tréflaouénan;462;14.72;85.28;9.76;90.24;15.2;84.8
29286;29;286;Tréflévénez;226;25.66;74.34;;;25.66;74.34
29287;29;287;Tréflez;1038;22.45;77.55;20.9;79.1;22.55;77.45
29288;29;288;Trégarantec;578;31.49;68.51;25.0;75.0;31.67;68.33
29289;29;289;Trégarvan;151;36.42;63.58;;;36.42;63.58
29290;29;290;Tréglonou;603;19.4;80.6;18.18;81.82;19.45;80.55
29291;29;291;Trégourez;861;14.4;85.6;18.18;81.82;14.14;85.86
29292;29;292;Tréguennec;348;31.61;68.39;22.22;77.78;32.12;67.88
29293;29;293;Trégunc;7546;23.19;76.81;29.57;70.43;22.9;77.1
29294;29;294;Le Tréhou;540;23.7;76.3;25.0;75.0;23.66;76.34
29295;29;295;Trémaouézan;469;27.08;72.92;0.0;100.0;28.48;71.52
29296;29;296;Tréméoc;1501;30.98;69.02;18.37;81.63;31.4;68.6
29297;29;297;Tréméven;2192;20.85;79.15;22.45;77.55;20.77;79.23
29298;29;298;Tréogat;538;22.68;77.32;0.0;100.0;22.89;77.11
29299;29;299;Tréouergat;282;24.82;75.18;33.33;66.67;24.44;75.56
29300;29;300;Le Trévoux;1499;19.35;80.65;15.85;84.15;19.55;80.45
29301;29;301;Trézilidé;331;20.54;79.46;;;20.54;79.46
29302;29;302;Pont-de-Buis-lès-Quimerch;3379;18.73;81.27;16.0;84.0;18.88;81.12
35001;35;001;Acigné;7545;33.21;66.79;30.22;69.78;33.4;66.6
35002;35;002;Amanlis;1792;30.92;69.08;27.14;72.86;31.07;68.93
35003;35;003;Andouillé-Neuville;892;24.33;75.67;0.0;100.0;25.47;74.53
35004;35;004;Val-Couesnon;3977;17.58;82.42;15.02;84.98;17.75;82.25
35005;35;005;Arbrissel;239;17.15;82.85;42.86;57.14;13.74;86.26
35006;35;006;Argentré-du-Plessis;4123;20.59;79.41;23.9;76.1;20.36;79.64
35007;35;007;Aubigné;468;33.97;66.03;50.0;50.0;32.88;67.12
35008;35;008;Availles-sur-Seiche;553;14.83;85.17;32.14;67.86;12.88;87.12
35009;35;009;Baguer-Morvan;1636;16.63;83.37;22.09;77.91;15.98;84.02
35010;35;010;Baguer-Pican;1493;17.75;82.25;10.43;89.57;18.36;81.64
35012;35;012;Bain-de-Bretagne;7637;24.94;75.06;18.36;81.64;25.37;74.63
35013;35;013;Bains-sur-Oust;3385;20.38;79.62;31.19;68.81;19.7;80.3
35014;35;014;Bais;2231;19.45;80.55;22.44;77.56;19.15;80.85
35015;35;015;Balazé;1937;19.15;80.85;13.33;86.67;19.49;80.51
35016;35;016;Baulon;1951;19.73;80.27;6.21;93.79;20.82;79.18
35017;35;017;La Baussaine;643;25.19;74.81;0.0;100.0;26.09;73.91
35018;35;018;La Bazouge-du-Désert;892;9.53;90.47;11.11;88.89;9.46;90.54
35019;35;019;Bazouges-la-Pérouse;1783;15.98;84.02;25.0;75.0;15.45;84.55
35021;35;021;Beaucé;1187;16.01;83.99;43.59;56.41;15.07;84.93
35022;35;022;Bécherel;701;23.11;76.89;22.73;77.27;23.14;76.86
35023;35;023;Bédée;4339;25.9;74.1;19.57;80.43;26.26;73.74
35024;35;024;Betton;14183;33.73;66.27;28.34;71.66;34.11;65.89
35025;35;025;Billé;882;12.47;87.53;0.0;100.0;12.91;87.09
35026;35;026;Bléruais;77;20.78;79.22;;;20.78;79.22
35027;35;027;Boisgervilly;1467;17.38;82.62;0.0;100.0;17.87;82.13
35028;35;028;Boistrudan;684;21.78;78.22;0.0;100.0;22.44;77.56
35029;35;029;Bonnemain;1394;18.29;81.71;22.73;77.27;17.91;82.09
35030;35;030;La Bosse-de-Bretagne;610;22.95;77.05;0.0;100.0;23.93;76.07
35031;35;031;La Bouëxière;4376;25.41;74.59;12.25;87.75;26.05;73.95
35032;35;032;Bourgbarré;4398;26.13;73.87;28.21;71.79;25.97;74.03
35033;35;033;Bourg-des-Comptes;3422;29.75;70.25;20.0;80.0;30.31;69.69
35034;35;034;La Boussac;1136;20.95;79.05;0.0;100.0;21.72;78.28
35035;35;035;Bovel;536;28.17;71.83;0.0;100.0;28.38;71.62
35037;35;037;Bréal-sous-Montfort;6411;27.0;73.0;23.82;76.18;27.21;72.79
35038;35;038;Bréal-sous-Vitré;570;21.05;78.95;33.33;66.67;20.79;79.21
35039;35;039;Brécé;1970;23.1;76.9;6.0;94.0;24.51;75.49
35040;35;040;Breteil;3555;23.83;76.17;24.66;75.34;23.77;76.23
35041;35;041;Brie;970;27.84;72.16;0.0;100.0;28.72;71.28
35042;35;042;Brielles;543;13.08;86.92;16.67;83.33;12.68;87.32
35044;35;044;Broualan;367;17.44;82.56;19.05;80.95;17.23;82.77
35045;35;045;Bruc-sur-Aff;732;15.44;84.56;21.95;78.05;15.05;84.95
35046;35;046;Les Brulais;448;14.51;85.49;0.0;100.0;14.98;85.02
35047;35;047;Bruz;20311;31.14;68.86;30.16;69.84;31.23;68.77
35049;35;049;Cancale;6010;24.19;75.81;23.92;76.08;24.21;75.79
35050;35;050;Cardroc;552;31.34;68.66;0.0;100.0;31.63;68.37
